domanID,siteID,nmdLctn,gdtcDtm,year,h5_files
D13,COMO,COMO.AOS.S2,WGS84,S2,2017,NEON_D13_NIWO_DP3_453000_4431000_reflectance.h5
D13,COMO,COMO.AOS.S2,WGS84,S2,2018,NEON_D13_NIWO_DP3_453000_4431000_reflectance.h5
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,2017,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,2017,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,2017,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,2017,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,2019,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,2019,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,2019,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,2019,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,2019,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,2019,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,2019,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
