aop_site,shp,flightlines,kml_color,color,condition,aq_site,aop_yr,domainID
OSBS,SUGG_AOSpts,20140507_154018,ff00ff00,green,good,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140507_154756,ff00ff00,green,good,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_145919,ff00ffff,yellow,okay,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_152515,ff00ffff,yellow,okay,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_153408,ff00ffff,yellow,okay,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_162436,ff0000ff,red,bad,SUGG,2014,D03
OSBS,SUGG_AOSpts,20170927_163135,ff0000ff,red,bad,SUGG,2017,D03
OSBS,SUGG_AOSpts,20170927_171031,ff0000ff,red,bad,SUGG,2017,D03
OSBS,SUGG_AOSpts,20170927_171735,ff0000ff,red,bad,SUGG,2017,D03
OSBS,SUGG_AOSpts,20180915_155817,ff0000ff,red,bad,SUGG,2018,D03
OSBS,SUGG_AOSpts,20181005_134947,ff00ff00,green,good,SUGG,2018,D03
OSBS,SUGG_AOSpts,20181012_174055,ff00ff00,green,good,SUGG,2018,D03
OSBS,SUGG_AOSpts,20181012_174934,ff00ff00,green,good,SUGG,2018,D03
LENO,TOMB_AOSpts,20170517_190309,ff0000ff,red,bad,TOMB,2017,D08
LENO,TOMB_AOSpts,20180428_152550,ff00ff00,green,good,TOMB,2018,D08
LENO,TOMB_AOSpts,20190506_181146,ff0000ff,red,bad,TOMB,2019,D08
LENO,TOMB_AOSpts,20190506_185225,ff0000ff,red,bad,TOMB,2019,D08
TOOL,TOOK_AOSpts,20170714_201551,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20170714_202447,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20170714_203317,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20170714_204140,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20180707_200701,ff0000ff,red,bad,TOOK,2018,D18
TOOL,TOOK_AOSpts,20180707_201743,ff0000ff,red,bad,TOOK,2018,D18
TOOL,TOOK_AOSpts,20180707_204103,ff0000ff,red,bad,TOOK,2018,D18
