domanID,siteID,aop_site,loctype,flightline,spectraID,sensor_zenith,solar_zenith,clouds
D05,LIRO,LIRO,buoy,20200816_152317,LIRO-buoy-20200816_152317,11.535748481750488,46.95192471577515,Red (> 50%) cloud cover
D05,LIRO,LIRO,outl,20200816_152652,LIRO-outl-20200816_152652,15.285711288452148,46.4399492238969,Red (> 50%) cloud cover
D05,LIRO,LIRO,inle,20200816_152652,LIRO-inle-20200816_152652,5.049342632293701,46.4399492238969,Red (> 50%) cloud cover
D05,LIRO,LIRO,buoy,20200816_152652,LIRO-buoy-20200816_152652,12.495824813842772,46.4399492238969,Red (> 50%) cloud cover
D09,PRLA,WOOD,buoy,20170621_205644,PRLA-buoy-20170621_205644,8.057340621948242,36.55315572342637,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,inle,20170621_205644,PRLA-inle-20170621_205644,4.546860694885254,36.55315572342637,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,outl,20170621_205644,PRLA-outl-20170621_205644,12.354792594909668,36.55315572342637,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,reac,20170621_205644,PRLA-reac-20170621_205644,7.04755163192749,36.55315572342637,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,buoy,20190726_151709,PRLA-buoy-20190726_151709,3.0053529739379883,49.71098789278397,Green (<10%) cloud cover
D09,PRLA,WOOD,inle,20190726_151709,PRLA-inle-20190726_151709,6.525217056274414,49.71098789278397,Green (<10%) cloud cover
D09,PRLA,WOOD,outl,20190726_151709,PRLA-outl-20190726_151709,4.637129783630371,49.71098789278397,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20190726_151709,PRLA-reac-20190726_151709,4.431024074554443,49.71098789278397,Green (<10%) cloud cover
D09,PRLA,WOOD,buoy,20190726_162146,PRLA-buoy-20190726_162146,12.678939819335938,39.87219025582482,Green (<10%) cloud cover
D09,PRLA,WOOD,inle,20190726_162146,PRLA-inle-20190726_162146,7.927023410797119,39.87219025582482,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20190726_162146,PRLA-reac-20190726_162146,13.197504997253418,39.87219025582482,Green (<10%) cloud cover
D09,PRLA,WOOD,outl,20190726_163004,PRLA-outl-20190726_163004,8.960389137268066,38.72417289659522,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20190726_163004,PRLA-reac-20190726_163004,15.147109031677246,38.72417289659522,Green (<10%) cloud cover
D09,PRLA,WOOD,buoy,20190727_152346,PRLA-buoy-20190727_152346,3.83862566947937,48.787458449187085,Green (<10%) cloud cover
D09,PRLA,WOOD,inle,20190727_152346,PRLA-inle-20190727_152346,7.097312927246094,48.787458449187085,Green (<10%) cloud cover
D09,PRLA,WOOD,outl,20190727_152346,PRLA-outl-20190727_152346,3.0205235481262207,48.787458449187085,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20190727_152346,PRLA-reac-20190727_152346,5.3732075691223145,48.787458449187085,Green (<10%) cloud cover
D09,PRLA,WOOD,buoy,20190730_153032,PRLA-buoy-20190730_153032,1.231030821800232,48.14492880210914,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,inle,20190730_153032,PRLA-inle-20190730_153032,5.119738578796387,48.14492880210914,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,outl,20190730_153032,PRLA-outl-20190730_153032,5.712438106536865,48.14492880210914,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,reac,20190730_153032,PRLA-reac-20190730_153032,2.741444826126098,48.14492880210914,Yellow (10 - 50%) cloud cover
D09,PRLA,WOOD,buoy,20200624_161319,PRLA-buoy-20200624_161319,13.43766975402832,36.73748739116629,Green (<10%) cloud cover
D09,PRLA,WOOD,outl,20200624_161319,PRLA-outl-20200624_161319,7.610476016998291,36.73748739116629,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20200624_161319,PRLA-reac-20200624_161319,13.054816246032717,36.73748739116629,Green (<10%) cloud cover
D09,PRLA,WOOD,buoy,20200624_162051,PRLA-buoy-20200624_162051,9.988993644714355,35.64215133899439,Green (<10%) cloud cover
D09,PRLA,WOOD,inle,20200624_162051,PRLA-inle-20200624_162051,9.826641082763672,35.64215133899439,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20200624_162051,PRLA-reac-20200624_162051,10.40961742401123,35.64215133899439,Green (<10%) cloud cover
D09,PRLA,WOOD,inle,20200624_162804,PRLA-inle-20200624_162804,14.68515682220459,34.57377300857884,Green (<10%) cloud cover
D09,PRLA,WOOD,buoy,20200624_173036,PRLA-buoy-20200624_173036,1.1275063753128052,26.833836418706287,Green (<10%) cloud cover
D09,PRLA,WOOD,inle,20200624_173036,PRLA-inle-20200624_173036,5.014928817749023,26.833836418706287,Green (<10%) cloud cover
D09,PRLA,WOOD,outl,20200624_173036,PRLA-outl-20200624_173036,6.706510543823242,26.833836418706287,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20200624_173036,PRLA-reac-20200624_173036,2.1175804138183594,26.833836418706287,Green (<10%) cloud cover
D09,PRLA,WOOD,buoy,20200626_192243,PRLA-buoy-20200626_192243,3.066519975662231,25.728880051238857,Red (> 50%) cloud cover
D09,PRLA,WOOD,inle,20200626_192243,PRLA-inle-20200626_192243,7.324717998504639,25.728880051238857,Red (> 50%) cloud cover
D09,PRLA,WOOD,outl,20200626_192243,PRLA-outl-20200626_192243,5.920003890991211,25.728880051238857,Red (> 50%) cloud cover
D09,PRLA,WOOD,reac,20200626_192243,PRLA-reac-20200626_192243,4.439116477966309,25.728880051238857,Red (> 50%) cloud cover
D09,PRLA,WOOD,buoy,20200702_171105,PRLA-buoy-20200702_171105,7.972919464111328,29.60469826299193,Green (<10%) cloud cover
D09,PRLA,WOOD,outl,20200702_171105,PRLA-outl-20200702_171105,1.8188880681991575,29.60469826299193,Green (<10%) cloud cover
D09,PRLA,WOOD,reac,20200702_171105,PRLA-reac-20200702_171105,9.396309852600098,29.60469826299193,Green (<10%) cloud cover
D09,PRPO,WOOD,buoy,20170619_154940,PRPO-buoy-20170619_154940,7.751789093017578,40.84727782612089,Green (<10%) cloud cover
D09,PRPO,WOOD,inle,20170619_154940,PRPO-inle-20170619_154940,3.1093432903289795,40.84727782612089,Green (<10%) cloud cover
D09,PRPO,WOOD,buoy,20170621_183544,PRPO-buoy-20170621_183544,15.03902530670166,23.74727784138359,Red (> 50%) cloud cover
