domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,collectDateDate,timediff,spectra
D03,BARC,BARC.AOS.inlet,2017-10-10T14:26:00Z,TSS,4,milligramsPerLiter,GOOD,2017-10-10,13,BARC-inle-20170927_170305
D03,BARC,BARC.AOS.inlet,2017-10-10T14:26:00Z,TDS,17.1,milligramsPerLiter,GOOD,2017-10-10,13,BARC-inle-20170927_170305
D03,BARC,BARC.AOS.inlet,2017-10-10T14:26:00Z,DOC,2.382,milligramsPerLiter,GOOD,2017-10-10,13,BARC-inle-20170927_170305
D03,BARC,BARC.AOS.inlet,2017-10-10T14:26:00Z,TOC,2.515,milligramsPerLiter,GOOD,2017-10-10,13,BARC-inle-20170927_170305
D03,BARC,BARC.AOS.inlet,2017-10-10T14:26:00Z,Fe,0.098,milligramsPerLiter,GOOD,2017-10-10,13,BARC-inle-20170927_170305
D03,BARC,BARC.AOS.inlet,2017-10-10T14:26:00Z,UV Absorbance (254 nm),0.0612,NA,GOOD,2017-10-10,13,BARC-inle-20170927_170305
D03,BARC,BARC.AOS.inlet,2017-10-10T14:26:00Z,UV Absorbance (280 nm),0.0411,NA,GOOD,2017-10-10,13,BARC-inle-20170927_170305
D03,BARC,BARC.AOS.outlet,2017-10-10T14:54:00Z,TSS,2,milligramsPerLiter,GOOD,2017-10-10,13,BARC-outl-20170927_170305
D03,BARC,BARC.AOS.outlet,2017-10-10T14:54:00Z,TDS,17.1,milligramsPerLiter,GOOD,2017-10-10,13,BARC-outl-20170927_170305
D03,BARC,BARC.AOS.outlet,2017-10-10T14:54:00Z,DOC,2.464,milligramsPerLiter,GOOD,2017-10-10,13,BARC-outl-20170927_170305
D03,BARC,BARC.AOS.outlet,2017-10-10T14:54:00Z,TOC,2.661,milligramsPerLiter,GOOD,2017-10-10,13,BARC-outl-20170927_170305
D03,BARC,BARC.AOS.outlet,2017-10-10T14:54:00Z,Fe,0.091,milligramsPerLiter,GOOD,2017-10-10,13,BARC-outl-20170927_170305
D03,BARC,BARC.AOS.outlet,2017-10-10T14:54:00Z,UV Absorbance (254 nm),0.0644,NA,GOOD,2017-10-10,13,BARC-outl-20170927_170305
D03,BARC,BARC.AOS.outlet,2017-10-10T14:54:00Z,UV Absorbance (280 nm),0.0435,NA,GOOD,2017-10-10,13,BARC-outl-20170927_170305
D03,BARC,BARC.AOS.buoy.c0,2018-09-05T14:27:00Z,TSS,2,milligramsPerLiter,GOOD,2018-09-05,-10,BARC-buoy-20180915_154327
D03,BARC,BARC.AOS.buoy.c0,2018-09-05T14:27:00Z,TDS,17.35,milligramsPerLiter,GOOD,2018-09-05,-10,BARC-buoy-20180915_154327
D03,BARC,BARC.AOS.buoy.c0,2018-09-05T14:27:00Z,DOC,2.297,milligramsPerLiter,GOOD,2018-09-05,-10,BARC-buoy-20180915_154327
D03,BARC,BARC.AOS.buoy.c0,2018-09-05T14:27:00Z,TOC,2.58,milligramsPerLiter,GOOD,2018-09-05,-10,BARC-buoy-20180915_154327
D03,BARC,BARC.AOS.buoy.c0,2018-09-05T14:27:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2018-09-05,-10,BARC-buoy-20180915_154327
D03,BARC,BARC.AOS.buoy.c0,2018-09-05T14:27:00Z,UV Absorbance (254 nm),0.035,NA,GOOD,2018-09-05,-10,BARC-buoy-20180915_154327
D03,BARC,BARC.AOS.buoy.c0,2018-09-05T14:27:00Z,UV Absorbance (280 nm),0.0238,NA,GOOD,2018-09-05,-10,BARC-buoy-20180915_154327
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,TSS,2,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-inle-20180915_154327
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,TDS,11.8,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-inle-20180915_154327
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,DOC,2.263,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-inle-20180915_154327
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,TOC,2.143,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-inle-20180915_154327
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-inle-20180915_154327
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,UV Absorbance (254 nm),0.0459,NA,GOOD,2017-12-05,-284,BARC-inle-20180915_154327
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,UV Absorbance (280 nm),0.0318,NA,GOOD,2017-12-05,-284,BARC-inle-20180915_154327
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,TSS,2,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-outl-20180915_154327
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,TDS,44.4,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-outl-20180915_154327
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,DOC,2.51,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-outl-20180915_154327
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,TOC,2.273,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-outl-20180915_154327
