domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,sensor_zenith,solar_zenith,clouds,flightline,aop_site,crs,flightdate,radfile,gpstime_hrs,rad_flightline
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,4403308,555,2332,425063.5,3600648.5,7.703665733337402,39.75288377763205,Red (> 50%) cloud cover,20170516_203433,DELA,EPSG:32616,2017-05-16,NEON_D08_DELA_DP1_20170516_L001-1_radiance,20.602676391601562,L001-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,4403308,555,2332,425063.5,3600648.5,7.703665733337402,39.75288377763205,Red (> 50%) cloud cover,20170516_203433,DELA,EPSG:32616,2017-05-16,NEON_D08_DELA_DP1_20170516_L001-1_radiance,20.602676391601562,L001-1
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6677983,520,7276,425063.5,3600648.5,6.7748589515686035,14.82524609004859,Green (<10%) cloud cover,20170526_170443,DELA,EPSG:32616,2017-05-26,NEON_D08_DELA_DP1_20170526_L001-1_radiance,17.137317657470703,L001-1
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6677983,520,7276,425063.5,3600648.5,6.7748589515686035,14.82524609004859,Green (<10%) cloud cover,20170526_170443,DELA,EPSG:32616,2017-05-26,NEON_D08_DELA_DP1_20170526_L001-1_radiance,17.137317657470703,L001-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6677983,520,7276,425063.5,3600648.5,6.7748589515686035,14.82524609004859,Green (<10%) cloud cover,20170526_170443,DELA,EPSG:32616,2017-05-26,NEON_D08_DELA_DP1_20170526_L001-1_radiance,17.137317657470703,L001-1
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6493897,7596,172,425063.5,3600648.5,12.761197090148926,29.742695909536195,Green (<10%) cloud cover,20180430_155951,DELA,EPSG:32616,2018-04-30,NEON_D08_DELA_DP1_20180430_L012-1_radiance,16.07066535949707,L012-1
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6493897,7596,172,425063.5,3600648.5,12.761197090148926,29.742695909536195,Green (<10%) cloud cover,20180430_155951,DELA,EPSG:32616,2018-04-30,NEON_D08_DELA_DP1_20180430_L012-1_radiance,16.07066535949707,L012-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6493897,7596,172,425063.5,3600648.5,12.761197090148926,29.742695909536195,Green (<10%) cloud cover,20180430_155951,DELA,EPSG:32616,2018-04-30,NEON_D08_DELA_DP1_20180430_L012-1_radiance,16.07066535949707,L012-1
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,6097594,7642,76,425063.5,3600648.5,13.06674575805664,39.61397542280729,Yellow (10 - 50%) cloud cover,20190429_151153,DELA,EPSG:32616,2019-04-29,NEON_D08_DELA_DP1_20190429_L012-1_radiance,15.238198280334473,L012-1
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,6097594,7642,76,425063.5,3600648.5,13.06674575805664,39.61397542280729,Yellow (10 - 50%) cloud cover,20190429_151153,DELA,EPSG:32616,2019-04-29,NEON_D08_DELA_DP1_20190429_L012-1_radiance,15.238198280334473,L012-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,6097594,7642,76,425063.5,3600648.5,13.06674575805664,39.61397542280729,Yellow (10 - 50%) cloud cover,20190429_151153,DELA,EPSG:32616,2019-04-29,NEON_D08_DELA_DP1_20190429_L012-1_radiance,15.238198280334473,L012-1
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,5359024,6801,624,425063.5,3600648.5,10.049201965332031,38.35617360835873,Yellow (10 - 50%) cloud cover,20190429_151835,DELA,EPSG:32616,2019-04-29,NEON_D08_DELA_DP1_20190429_L013-1_radiance,15.32718563079834,L013-1
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,5359024,6801,624,425063.5,3600648.5,10.049201965332031,38.35617360835873,Yellow (10 - 50%) cloud cover,20190429_151835,DELA,EPSG:32616,2019-04-29,NEON_D08_DELA_DP1_20190429_L013-1_radiance,15.32718563079834,L013-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,5359024,6801,624,425063.5,3600648.5,10.049201965332031,38.35617360835873,Yellow (10 - 50%) cloud cover,20190429_151835,DELA,EPSG:32616,2019-04-29,NEON_D08_DELA_DP1_20190429_L013-1_radiance,15.32718563079834,L013-1
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,8560762,7804,871,309132.5,5120578.5,17.843765258789062,38.81469033139992,Green (<10%) cloud cover,20160902_173948,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L010-1_radiance,17.719270706176758,L010-1
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,9048779,8249,723,308984.5,5120133.5,11.350332260131836,38.81469033139992,Green (<10%) cloud cover,20160902_173948,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L010-1_radiance,17.721406936645508,L010-1
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,8725122,7954,681,308942.5,5120428.5,8.1929349899292,38.81469033139992,Green (<10%) cloud cover,20160902_173948,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L010-1_radiance,17.720094680786133,L010-1
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,8725122,7954,681,308942.5,5120428.5,8.1929349899292,38.81469033139992,Green (<10%) cloud cover,20160902_173948,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L010-1_radiance,17.720094680786133,L010-1
